page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
23,3,"1986
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","1996
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","2006
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","2011
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge",,,,,
23,4,,,,,,,,,
23,5,,,,,,,,,
23,6,,,,,,,,,
23,7,,,,,,,,,
23,8,"1986
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","1996
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","2006
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","2011
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge",,,,,
23,9,,,,,,,,,
23,10,,,,,,,,,
23,11,,,,,,,,,
23,12,,,,,,,,,
26,1,,Francophones du Québec,,,,Anglophones de l’Ontario,,,
26,1,,1986,1996,2006,2011,1986,1996,2006,2011
26,1,Niveau de scolarité et âge de la femme¹,,,,,,,,
26,1,Moins que le secondaire,"2,272***","10,472***","15,681***","29,552***","0,786***","3,719***","9,873***","17,705***"
26,1,Secondaire,"1,318***","6,354***","15,629***","17,998***","0,441***","2,082***","7,062***","8,784***"
26,1,PS non-universitaire,"1,336***","4,942***","16,597***","15,068***","0,375***","1,463***","5,102***","7,412***"
26,1,Université,"0,846","3,056***","14,196***","14,906***","0,263***","1,133","5,345***","7,547***"
26,1,(Moins que le secondaire)∙Âge,"0,876***","0,913***","0,953**","0,889***","0,922***","0,853***","0,877***","0,808***"
26,1,(Secondaire)∙Âge,"0,920***","0,915***","0,910***","0,909***","0,931***","0,856***","0,831***","0,829***"
26,1,(PS non-universitaire)∙Âge,"0,930***","0,924***","0,882***","0,906***","0,952***","0,882***","0,820***","0,811***"
26,1,(Université)∙Âge,"1,056***","0,984","0,854***","0,876***","0,976","0,849***","0,762***","0,744***"
26,1,(Moins que le secondaire)∙Âge²,"1,001***","0,999**","0,998***","1,000","1,000","1,002***","1,001*","1,003***"
26,1,(Secondaire)∙Âge²,"1,000","1,000","1,000","1,000","1,001*","1,003***","1,003***","1,003***"
