page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
11,1,Variables,Modalités,"Migration du
Sénégal vers France/
Italie/Espagne",,"Migration du
Ghana vers
Royaume-Uni/
Pays-Bas",,"Migration
du RD Congo
vers Belgique/
Royaume-Uni",
11,1,,,Non,oui,Non,oui,Non,oui
23,1,Liens faibles (connaissances / amis) (Réf. Non),oui,"2,45**",,,,,
23,1,Capital humain,,,,,,,
23,1,Niveau d’éducation,Réf. Au plus niveau secondaire,"1,00",,,,,
23,1,,Supérieur,"1,50**",,,,,
23,1,Ressources économiques,,,,,,,
23,1,Situation économique auto-déclarée,Réf. Insuffisant,"1,00",,,,,
23,1,,Suffisant,"0,88*",,,,,
23,1,Situation dans l’emploi,Réf. occupé,"1,00",,,,,
23,1,,étudiant,"1,18&",,,,,
23,1,,Chômeur,"1,30*",,,,,
23,1,,Autres,"0,81*",,,,,
23,1,Possession des biens,,,,,,,
23,1,Terrain (Réf. Non),oui,"1,05",,,,,
23,1,maison (Réf. Non),oui,"1,46*",,,,,
23,1,Affaire (Réf. Non),oui,"0,60**",,,,,
23,1,Log likelihood,,"-6369,18",,,,,
23,1,Wald chi2,,"22497,24",,,,,
23,1,Individus/personnes-années,,5366/102630,,,,,
