page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
15,1,Taux d’activité (2016),"42,2","43,1","54,9","63,1","55,2","64,1",,,,,,,,,,
15,1,Taux de chômage (2016),"27,0","19,2","9,7","10,0","10,9","7,2",,,,,,,,,,
15,1,"% des travailleurs affectés au secteur
primaire (2016)","16,7","18,9","17,6","17,8","14,5","2,5",,,,,,,,,,
15,1,"% des travailleurs affectés au secteur
secondaire (2016)","29,1","17,7","22,3","18,1","22,8","17,1",,,,,,,,,,
15,1,"% des travailleurs affectés au secteur
tertiaire (2016)","54,2","63,4","60,1","64,1","62,7","80,4",,,,,,,,,,
15,1,Variables liées au revenu,,,,,,,,,,,,,,,,
15,1,"revenu moyen des familles
économiques en $ (2016)",51 584,61 184,59 245,64 548,63 301,79 378,,,,,,,,,,
15,1,"% du revenu provenant d’un emploi
(2016)","42,4","51,7","56,9","58,8","57,9","68,5",,,,,,,,,,
15,1,"% du revenu provenant de transferts
gouvernementaux (2016)","40,3","36,6","30,8","25,6","26,5","15,6",,,,,,,,,,
15,1,Autres,,,,,,,,,,,,,,,,
15,1,"distance par rapport à la ville la plus
près (en km)","40,5","44,5","35,4","32,2","29,0",–,,,,,,,,,,
15,1,"nombre de localités faisant partie du
réseau Mada (au 1er mai 2018)",9,6,8,15,"13,1",820,,,,,,,,,,
15,1,"proportion de localités faisant partie
du réseau Mada (au 1er mai 2018)","69,2","75,0","40,0","37,5","64,9","74,8",,,,,,,,,,
